iata,icao,name,city,country,lat,lon,elev_m,tz
IQN,ZLQY,Qingyang Xifeng Airport,Qingyang (Xifeng),CN,35.80264,107.59890,0,Asia/Shanghai
IQQ,SCDA,Diego Aracena International Airport,Iquique,CL,-20.53627,-70.18137,47,America/Santiago
IQT,SPQT,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,PE,-3.78474,-73.30880,93,America/Lima
IRG,YLHR,Lockhart River Airport,Lockhart River,AU,-12.78690,143.30499,23,Australia/Brisbane
IRJ,SANL,Capitan V A Almonacid Airport,La Rioja,AR,-29.38160,-66.79580,438,America/Argentina/La_Rioja
IRK,KIRK,Kirksville Regional Airport,Kirksville,US,40.09350,-92.54490,294,America/Chicago
IRP,FZJH,Matari Airport,Isiro,CD,2.82761,27.58830,743,Africa/Lubumbashi
ISA,YBMA,Mount Isa Airport,Mount Isa,AU,-20.66638,139.48847,342,Australia/Brisbane
ISB,OPIS,Islamabad International Airport,Attock,PK,33.54900,72.82566,537,Asia/Karachi
ISE,LTFC,Süleyman Demirel International Airport,Isparta,TR,37.85540,30.36840,864,Europe/Istanbul
ISG,ROIG,New Ishigaki Airport,Ishigaki,JP,24.39639,124.24500,31,Asia/Tokyo
ISK,VAOZ,Nashik International Airport,Nashik,IN,20.11910,73.91290,579,Asia/Kolkata
ISP,KISP,Long Island MacArthur Airport,Islip,US,40.79632,-73.10170,30,America/New_York
IST,LTFM,İstanbul Airport,Istanbul,TR,41.27487,28.73214,99,Europe/Istanbul
ISU,ORSJ,Jalal Talabani International Airport,Sulaymaniyah,IQ,35.56049,45.31514,760,Asia/Baghdad
ITB,SBIH,Itaituba Airport,Itaituba,BR,-4.24213,-56.00065,34,America/Santarem
ITH,KITH,Ithaca Tompkins Regional Airport,Ithaca,US,42.49100,-76.45840,335,America/New_York
ITM,RJOO,Osaka Itami International Airport,Osaka,JP,34.78085,135.44083,15,Asia/Tokyo
ITO,PHTO,Hilo International Airport,Hilo,US,19.72135,-155.04543,12,Pacific/Honolulu
IUE,NIUE,Niue International Airport,Alofi,NU,-19.08011,-169.92349,64,Pacific/Niue
IVC,NZNV,Invercargill Airport,Invercargill,NZ,-46.41240,168.31300,2,Pacific/Auckland
IVL,EFIV,Ivalo Airport,Ivalo,FI,68.60730,27.40530,147,Europe/Helsinki
IWA,UUBI,Ivanovo South Airport,Ivanovo,RU,56.93940,40.94080,125,Europe/Moscow
IWJ,RJOW,Iwami Airport,Masuda,JP,34.67640,131.78999,56,Asia/Tokyo
IWK,RJOI,Iwakuni Kintaikyo Airport,Iwakuni,JP,34.14633,132.24724,2,Asia/Tokyo
IXA,VEAT,Agartala - Maharaja Bir Bikram Airport,Agartala,IN,23.88700,91.24040,14,Asia/Kolkata
IXB,VEBD,Bagdogra Airport,Siliguri,IN,26.68120,88.32860,126,Asia/Kolkata
IXC,VICG,Shaheed Bhagat Singh International Airport,Chandigarh,IN,30.67350,76.78850,308,Asia/Kolkata
IXD,VEAB,Prayagraj Airport,Allahabad,IN,25.44010,81.73390,98,Asia/Kolkata
IXE,VOML,Mangaluru International Airport,Mangaluru,IN,12.95471,74.88681,103,Asia/Kolkata
IXG,VOBM,Belagavi Airport,Belgaum,IN,15.85930,74.61830,758,Asia/Kolkata
IXI,VELR,Lilabari North Lakhimpur Airport,Lilabari,IN,27.29568,94.09727,101,Asia/Kolkata
IXJ,VIJU,Jammu Airport,Jammu,IN,32.68885,74.83815,304,Asia/Kolkata
