iata,icao,name,city,country,lat,lon,elev_m,tz
AAA,NTGA,Anaa Airport,Anaa,PF,-17.35260,-145.51000,3,Pacific/Tahiti
AAC,HEAR,El Arish International Airport,El Arish,EG,31.05532,33.82796,36,Africa/Cairo
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,36.82678,7.81334,5,Africa/Algiers
AAL,EKYT,Aalborg Airport,Aalborg,DK,57.09476,9.84993,3,Europe/Copenhagen
AAN,OMAL,Al Ain International Airport,Al Ain,AE,24.26170,55.60920,265,Asia/Dubai
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.37448,117.25013,25,Asia/Makassar
AAR,EKAH,Aarhus Airport,Aarhus,DK,56.30333,10.61829,25,Europe/Copenhagen
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.74989,88.08581,750,Asia/Urumqi
AAX,SBAX,Romeu Zema Airport,Araxá,BR,-19.56320,-46.96040,999,America/Sao_Paulo
AAY,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,16.19334,52.17419,41,Asia/Aden
ABA,UNAA,Abakan International Airport,Abakan,RU,53.74000,91.38500,253,Asia/Krasnoyarsk
ABB,DNAS,Asaba International Airport,Asaba,NG,6.20417,6.66528,93,Africa/Lagos
ABD,OIAA,Abadan Ayatollah Jami International Airport,Abadan,IR,30.36789,48.23007,3,Asia/Tehran
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.65177,-75.44280,120,America/New_York
ABI,KABI,Abilene Regional Airport,Abilene,US,32.41130,-99.68190,546,America/Chicago
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,6,Africa/Abidjan
ABK,HAKD,Kebri Dahar Airport,Kebri Dahar,ET,6.73258,44.24134,549,Africa/Addis_Ababa
ABL,PAFM,Ambler Airport,Ambler,US,67.10553,-157.85534,102,America/Anchorage
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.03998,-106.60892,1632,America/Denver
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.44910,-98.42180,397,America/Chicago
ABS,HEBL,Abu Simbel Airport,Abu Simbel,EG,22.37592,31.61173,187,Africa/Cairo
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.29851,41.63615,1672,Asia/Riyadh
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,342,Africa/Lagos
ABX,YMAY,Albury Airport,East Albury,AU,-36.06676,146.95915,164,Australia/Sydney
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.53295,-84.19621,60,America/New_York
ABZ,EGPD,Aberdeen International Airport,Aberdeen,GB,57.20190,-2.19778,66,Europe/London
ACA,MMAA,General Juan N. Álvarez International Airport,Acapulco,MX,16.75713,-99.75311,5,America/Mexico_City
ACC,DGAA,Kotoka International Airport,Accra,GH,5.60519,-0.16679,62,Africa/Accra
ACE,GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.94550,-13.60520,14,Atlantic/Canary
ACH,LSZR,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.48500,9.56077,398,Europe/Zurich
ACI,EGJA,Alderney Airport,Saint Anne,GG,49.70610,-2.21472,88,Europe/Guernsey
ACK,KACK,Nantucket Memorial Airport,Nantucket,US,41.25310,-70.06020,14,America/New_York
ACT,KACT,Waco Regional Airport,Waco,US,31.61130,-97.23050,157,America/Chicago
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.97810,-124.10900,67,America/Los_Angeles
ACX,ZUYI,Xingyi Wanfenglin Airport,Xingyi,CN,25.08342,104.96080,1265,Asia/Shanghai
ACY,KACY,Atlantic City International Airport,Atlantic City,US,39.45620,-74.57751,23,America/New_York
ADB,LTBJ,Adnan Menderes International Airport,Gaziemir,TR,38.29240,27.15700,126,Europe/Istanbul
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.97789,38.79930,2326,Africa/Addis_Ababa
ADE,OYAA,Aden International Airport,Aden,YE,12.82956,45.02998,2,Asia/Aden
ADF,LTCP,Adıyaman Airport,Adıyaman,TR,37.73140,38.46890,675,Europe/Istanbul
ADJ,OJAM,Marka International (Amman Civil) Airport,Amman,JO,31.97270,35.99160,779,Asia/Amman
ADK,PADK,Adak Airport,Adak,US,51.88356,-176.64278,5,America/Adak
ADL,YPAD,Adelaide International Airport,Adelaide,AU,-34.94751,138.53339,6,Australia/Adelaide
ADQ,PADQ,Kodiak Airport,Kodiak,US,57.75000,-152.49400,24,America/Anchorage
ADU,OITL,Ardabil Airport,Ardabil,IR,38.32570,48.42440,1315,Asia/Tehran
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,San Andrés,CO,12.58360,-81.71120,6,America/Bogota
AEB,ZGBS,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.72060,106.96000,149,Asia/Shanghai
AEP,SABE,Aeroparque Jorge Newbery,Buenos Aires,AR,-34.55942,-58.41554,5,America/Argentina/Buenos_Aires
AER,URSS,Sochi International Airport,Sochi,RU,43.44990,39.95660,27,Europe/Moscow
AES,ENAL,Ålesund Airport,Ålesund,NO,62.56044,6.11085,21,Europe/Oslo
AEU,OIBA,Abu Musa Island Airport,Abu Musa,IR,25.87570,55.03300,7,Asia/Tehran
AEX,KAEX,Alexandria International Airport,Alexandria,US,31.32583,-92.54670,27,America/Chicago
AEY,BIAR,Akureyri International Airport,Akureyri,IS,65.65657,-18.07202,2,Atlantic/Reykjavik
AFA,SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.58830,-68.40390,753,America/Argentina/Mendoza
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.86639,-56.10630,289,America/Cuiaba
AFZ,OIMS,Sabzevar National Airport,Sabzevar,IR,36.16810,57.59520,917,Asia/Tehran
AGA,GMAD,Al Massira Airport,Agadir (Temsia),MA,30.32248,-9.41200,76,Africa/Casablanca
AGH,ESTA,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.29610,12.84710,21,Europe/Stockholm
AGP,LEMG,Málaga-Costa del Sol Airport,Málaga,ES,36.67490,-4.49911,16,Europe/Madrid
AGR,VIAG,Agra Airport / Agra Air Force Station,Agra,IN,27.15798,77.96103,168,Asia/Kolkata
AGS,KAGS,Augusta Regional At Bush Field,Augusta,US,33.36990,-81.96450,44,America/New_York
AGT,SGES,Guaraní International Airport,Ciudad del Este,PY,-25.45719,-54.83954,258,America/Asuncion
AGU,MMAS,Aguascalientes International Airport,Aguascalientes,MX,21.69959,-102.31837,1863,America/Mexico_City
AGX,VOAT,Agatti Airport,Agatti,IN,10.82370,72.17600,4,Asia/Kolkata
AHA,VEAP,Maa Mahamaya Airport,Ambikapur,IN,22.98753,83.19612,588,Asia/Kolkata
AHB,OEAB,Abha International Airport,Abha,SA,18.24040,42.65660,2090,Asia/Riyadh
AHE,NTHE,Ahe Airport,Ahe Atoll,PF,-14.42810,-146.25700,3,Pacific/Tahiti
AHO,LIEA,Alghero-Fertilia Airport,Alghero,IT,40.63210,8.29077,27,Europe/Rome
AHU,GMTA,Cherif Al Idrissi Airport,Al Hoceima,MA,35.17710,-3.83952,29,Africa/Casablanca
AIA,KAIA,Alliance Municipal Airport,Alliance,US,42.05254,-102.80397,1198,America/Denver
AIN,PAWI,Wainwright Airport,Wainwright,US,70.63800,-159.99499,12,America/Anchorage
AJA,LFKJ,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,41.92360,8.80292,5,Europe/Paris
AJF,OESK,Al-Jawf International Airport,Al-Jawf,SA,29.78330,40.10090,689,Asia/Riyadh
AJI,LTCO,Ağrı Airport,Ağrı,TR,39.65564,43.02574,1665,Europe/Istanbul
AJL,VELP,Lengpui Airport,Aizawl (Lengpui),IN,23.84060,92.61970,426,Asia/Kolkata
AJN,FMCV,Ouani Airport,Ouani,KM,-12.13105,44.43004,19,Indian/Comoro
AJR,ESNX,Arvidsjaur Airport,Arvidsjaur,SE,65.59030,19.28190,379,Europe/Stockholm
AJU,SBAR,Aracaju - Santa Maria Airport,Aracaju,BR,-10.98394,-37.07287,7,America/Maceio
AKF,HLKF,Kufra Airport,Kufra,LY,24.17870,23.31400,417,Africa/Tripoli
AKJ,RJEC,Asahikawa Airport,Higashikagura,JP,43.67080,142.44701,220,Asia/Tokyo
AKL,NZAA,Auckland International Airport,Auckland,NZ,-37.01199,174.78633,7,Pacific/Auckland
AKN,PAKN,King Salmon Airport,King Salmon,US,58.67784,-156.65196,22,America/Anchorage
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.13360,-151.74300,641,America/Anchorage
AKR,DNAK,Akure Airport,Akure,NG,7.24674,5.30101,335,Africa/Lagos
AKU,ZWAK,Aksu Hongqipo Airport,Aksu (Onsu),CN,41.26250,80.29170,1163,Asia/Urumqi
AKX,UATT,Aktobe International Airport,Aktobe,KZ,50.24812,57.20414,225,Asia/Aqtobe
AKY,VYSW,Sittwe Airport,Sittwe,MM,20.13317,92.87069,8,Asia/Yangon
ALA,UAAA,Almaty International Airport,Almaty,KZ,43.35427,77.04283,681,Asia/Almaty
ALB,KALB,Albany International Airport,Albany,US,42.74830,-73.80170,87,America/New_York
ALC,LEAL,Alicante-Elche Miguel Hernández Airport,Alicante,ES,38.28220,-0.55816,43,Europe/Madrid
ALF,ENAT,Alta Airport,Alta,NO,69.97610,23.37170,3,Europe/Oslo
ALG,DAAG,Houari Boumediene Airport,Algiers,DZ,36.69389,3.21453,25,Africa/Algiers
ALH,YABA,Albany Airport,Albany,AU,-34.94333,117.80889,71,Australia/Perth
ALO,KALO,Waterloo Regional Airport,Waterloo,US,42.55710,-92.40030,266,America/Chicago
ALP,OSAP,Aleppo International Airport,Aleppo,SY,36.18126,37.22687,389,Asia/Damascus
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.43490,-105.86700,2298,America/Denver
ALW,KALW,Walla Walla Regional Airport,Walla Walla,US,46.09490,-118.28800,364,America/Los_Angeles
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,US,35.21786,-101.70644,1099,America/Chicago
AMD,VAAH,Sardar Vallabh Patel International Airport,Ahmedabad,IN,23.07720,72.63470,58,Asia/Kolkata
AMH,HAAM,Arba Minch Airport,Arba Minch,ET,6.03939,37.59050,1189,Africa/Addis_Ababa
AMM,OJAI,Queen Alia International Airport,Amman,JO,31.72260,35.99320,730,Asia/Amman
AMQ,WAPP,Pattimura International Airport,Ambon,ID,-3.71026,128.08900,10,Asia/Jayapura
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,52.30860,4.76389,-3,Europe/Amsterdam
AMV,ULDD,Amderma Airport,Amderma,RU,69.76371,61.55671,4,Europe/Moscow
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,US,61.17900,-149.99256,46,America/Anchorage
ANF,SCFA,Andrés Sabella Gálvez International Airport,Antofagasta,CL,-23.44527,-70.44523,139,America/Santiago
ANI,PANI,Aniak Airport,Aniak,US,61.58160,-159.54300,27,America/Anchorage
ANR,EBAW,Antwerp International Airport (Deurne),Antwerp,BE,51.19067,4.46315,12,Europe/Brussels
ANU,TAPA,V. C. Bird International Airport,Osbourn,AG,17.13670,-61.79270,19,America/Antigua
ANV,PANV,Anvik Airport,Anvik,US,62.64670,-160.19099,89,America/Anchorage
ANX,ENAN,"Andøya Airport, Andenes",Andenes,NO,69.29519,16.13938,13,Europe/Oslo
AOE,LTBY,Hasan Polatkan Airport,Eskişehir,TR,39.81164,30.51927,789,Europe/Istanbul
AOG,ZYAS,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN,41.10530,122.85400,0,Asia/Shanghai
AOI,LIPY,Marche Airport,Falconara Marittima (AN),IT,43.61630,13.36230,15,Europe/Rome
AOJ,RJSA,Aomori Airport,Aomori,JP,40.73378,140.68948,202,Asia/Tokyo
AOK,LGKP,Karpathos Airport,Karpathos Island,GR,35.42140,27.14600,20,Europe/Athens
AOO,KAOO,Altoona Blair County Airport,Altoona,US,40.29640,-78.32000,458,America/New_York
AOR,WMKA,Sultan Abdul Halim Airport,Alor Satar,MY,6.18967,100.39800,5,Asia/Kuala_Lumpur
APL,FQNP,Nampula Airport,Nampula,MZ,-15.10560,39.28180,440,Africa/Maputo
APN,KAPN,Alpena County Regional Airport,Alpena,US,45.07810,-83.56030,210,America/Detroit
APO,SKLC,Antonio Roldán Betancur Airport,Carepa,CO,7.81196,-76.71640,14,America/Bogota
APW,NSFA,Faleolo International Airport,Apia,WS,-13.83000,-172.00800,18,Pacific/Apia
AQA,SBAQ,Araraquara Airport,Araraquara,BR,-21.81200,-48.13300,711,America/Sao_Paulo
AQG,ZSAQ,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN,30.58220,117.05000,0,Asia/Shanghai
AQI,OEPA,Qaisumah–Hafar Al-Batin International Airport,Qaisumah,SA,28.33573,46.12711,358,Asia/Riyadh
AQJ,OJAQ,King Hussein International Airport,Aqaba,JO,29.61160,35.01810,53,Asia/Amman
AQP,SPQU,Rodríguez Ballón International Airport,Arequipa,PE,-16.34079,-71.56949,2562,America/Lima
ARC,PARC,Arctic Village Airport,Arctic Village,US,68.11470,-145.57899,638,America/Anchorage
ARH,ULAA,Talagi Airport,Archangelsk,RU,64.60030,40.71670,19,Europe/Moscow
ARI,SCAR,Chacalluta International Airport,Arica,CL,-18.34850,-70.33870,51,America/Santiago
ARK,HTAR,Arusha Airport,Arusha,TZ,-3.36779,36.63330,1387,Africa/Dar_es_Salaam
ARM,YARM,Armidale Airport,Armidale,AU,-30.52810,151.61700,1084,Australia/Sydney
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.92883,42,Europe/Stockholm
ART,KART,Watertown International Airport,Watertown,US,43.99190,-76.02170,99,America/New_York
ARU,SBAU,Araçatuba Airport,Araçatuba,BR,-21.14148,-50.42457,414,America/Sao_Paulo
ARW,LRAR,Arad International Airport,Arad,RO,46.17614,21.26432,107,Europe/Bucharest
ASB,UTAA,Ashgabat International Airport,Ashgabat,TM,37.98680,58.36100,211,Asia/Ashgabat
ASD,MYAF,Andros Town Airport,Andros Town,BS,24.69790,-77.79560,2,America/Nassau
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,39.22320,-106.86900,2384,America/Denver
ASF,URWA,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.28284,48.01051,-20,Europe/Astrakhan
ASI,FHAW,RAF Ascension Island,Cat Hill,SH,-7.97018,-14.39274,85,Atlantic/St_Helena
ASJ,RJKA,Amami Airport,Amami,JP,28.43060,129.71300,8,Asia/Tokyo
ASM,HHAS,Asmara International Airport,Asmara,ER,15.29190,38.91070,2335,Africa/Asmara
ASO,HASO,Asosa Airport,Asosa,ET,10.01850,34.58630,1554,Africa/Addis_Ababa
ASP,YBAS,Alice Springs Airport,Alice Springs,AU,-23.80659,133.90343,545,Australia/Darwin
ASR,LTAU,Kayseri Erkilet International Airport,Kayseri,TR,38.77040,35.49540,1056,Europe/Istanbul
ASU,SGAS,Silvio Pettirossi International Airport,Asunción,PY,-25.24016,-57.51923,89,America/Asuncion
ASV,HKAM,Amboseli Airport,Ol Tukai,KE,-2.64479,37.25292,1145,Africa/Nairobi
ASW,HESN,Aswan International Airport,Aswan,EG,23.96108,32.82038,198,Africa/Cairo
ATC,MYCA,Arthur's Town Airport,Arthur's Town,BS,24.62940,-75.67380,5,America/Nassau
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.93640,23.94450,94,Europe/Athens
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,70.46704,-157.43601,29,America/Anchorage
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,33.63670,-84.42810,313,America/New_York
ATM,SBHT,Altamira Interstate Airport,Altamira,BR,-3.25314,-52.25394,112,America/Santarem
ATQ,VIAR,Sri Guru Ram Das Ji International Airport,Amritsar,IN,31.70960,74.79730,230,Asia/Kolkata
ATW,KATW,Appleton International Airport,Appleton,US,44.25852,-88.51900,280,America/Chicago
ATY,KATY,Watertown Regional Airport,Watertown,US,44.91400,-97.15470,533,America/Chicago
ATZ,HEAT,Asyut International Airport,Asyut,EG,27.04596,31.01276,228,Africa/Cairo
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,AW,12.50106,-70.01428,18,America/Aruba
AUC,SKUC,Santiago Perez Airport,Arauca,CO,7.06888,-70.73690,128,America/Bogota
AUG,KAUG,Augusta State Airport,Augusta,US,44.32060,-69.79730,107,America/New_York
AUH,OMAA,Zayed International Airport,Abu Dhabi,AE,24.44097,54.64924,27,Asia/Dubai
AUQ,NTMN,Hiva Oa-Atuona Airport,Hiva Oa Island,PF,-9.76879,-139.01100,451,Pacific/Marquesas
AUR,LFLW,Aurillac airport,Aurillac,FR,44.89140,2.42194,639,Europe/Paris
AUS,KAUS,Austin Bergstrom International Airport,Austin,US,30.19753,-97.66201,165,America/Chicago
AUX,SWGN,Araguaína Airport,Araguaína,BR,-7.22787,-48.24050,235,America/Araguaina
AVA,ZUAS,Anshun Huangguoshu Airport,Anshun (Xixiu),CN,26.26056,105.87333,1467,Asia/Shanghai
AVK,ZMAH,Arvaikheer Airport,Arvaikheer,MN,46.25030,102.80200,1808,Asia/Ulaanbaatar
AVL,KAVL,Asheville Regional Airport,Asheville,US,35.43549,-82.54185,660,America/New_York
AVN,LFMV,Avignon Caumont airport,Avignon,FR,43.90730,4.90183,38,Europe/Paris
AVP,KAVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,41.33706,-75.72423,293,America/New_York
AVR,VAAM,Amravati  Airport,Amravati,IN,20.81461,77.71776,343,Asia/Kolkata
AVV,YMAV,Melbourne Avalon International Airport,Geelong/Melbourne,AU,-38.04027,144.46720,11,Australia/Melbourne
AWA,HALA,Hawassa International Airport,Hawassa,ET,7.10061,38.39646,1661,Africa/Addis_Ababa
AWK,PWAK,Wake Island Airfield,Wake Island,UM,19.28244,166.63664,4,Pacific/Wake
AWZ,OIAW,Qasem Soleimani International Airport,Ahvaz,IR,31.33640,48.76379,20,Asia/Tehran
AXA,TQPF,Clayton J. Lloyd International Airport,The Valley,AI,18.20477,-63.05383,39,America/Anguilla
AXD,LGAL,Alexandroupoli Democritus Airport,Alexandroupolis,GR,40.85590,25.95630,7,Europe/Athens
AXF,ZBAL,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.74832,105.58416,1390,Asia/Shanghai
AXJ,RJDA,Amakusa Airport,Amakusa,JP,32.48250,130.15900,104,Asia/Tokyo
AXM,SKAR,El Eden Airport,Armenia,CO,4.45278,-75.76640,1216,America/Bogota
AXP,MYAP,Spring Point Airport,Spring Point,BS,22.44180,-73.97090,3,America/Nassau
AXR,NTGU,Arutua Airport,,PF,-15.24830,-146.61700,3,Pacific/Tahiti
AXT,RJSK,Akita Airport,Akita,JP,39.61560,140.21899,95,Asia/Tokyo
AXU,HAAX,Axum Airport,Axum,ET,14.14680,38.77280,2121,Africa/Addis_Ababa
AYJ,VEAY,Maharshi Valmiki International Airport,Faizabad,IN,26.74774,82.16366,102,Asia/Kolkata
AYP,SPHO,Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,PE,-13.15480,-74.20440,2718,America/Lima
AYQ,YAYE,Ayers Rock Connellan Airport,Yulara,AU,-25.18591,130.97703,496,Australia/Darwin
AYT,LTAI,Antalya International Airport,Antalya,TR,36.89870,30.80050,54,Europe/Istanbul
AZA,KIWA,Mesa Gateway Airport,Mesa,US,33.30780,-111.65500,421,America/Phoenix
AZD,OIYY,Shahid Sadooghi Airport,Yazd,IR,31.90490,54.27650,1236,Asia/Tehran
AZN,UZFA,Andijan International Airport,Andijan,UZ,40.72770,72.29400,462,Asia/Tashkent
AZO,KAZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,42.23210,-85.54964,266,America/Detroit
AZR,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,27.83760,-0.18641,280,Africa/Algiers
AZS,MDCY,Samaná El Catey International Airport,Samana,DO,19.26926,-69.73740,9,America/Santo_Domingo
BAH,OBBI,Bahrain International Airport,Manama,BH,26.26730,50.63764,2,Asia/Bahrain
BAL,LTCJ,Batman Airport,Batman,TR,37.92900,41.11660,555,Europe/Istanbul
BAQ,SKBQ,Ernesto Cortissoz International Airport,Barranquilla,CO,10.88960,-74.78080,30,America/Bogota
BAR,ZJQH,Qionghai Bo'ao Airport,Qionghai (Basuo),CN,19.14095,110.45277,9,Asia/Shanghai
BAV,ZBOW,Baotou Donghe International Airport,Baotou,CN,40.56000,109.99700,1012,Asia/Shanghai
BAX,UNBB,Barnaul Gherman Titov International Airport,Barnaul,RU,53.36129,83.53970,255,Asia/Barnaul
BAY,LRBM,Maramureș International Airport,Tăuții-Măgherăuș,RO,47.65844,23.46445,184,Europe/Bucharest
BBA,SCBA,Balmaceda Airport,Balmaceda,CL,-45.91597,-71.68950,525,America/Coyhaique
BBI,VEBS,Biju Patnaik International Airport,Bhubaneswar,IN,20.25102,85.81475,42,Asia/Kolkata
BBK,FBKE,Kasane International Airport,Kasane,BW,-17.83165,25.16619,1002,Africa/Gaborone
BBM,VDBG,Battambang Airport,Battambang,KH,13.09560,103.22400,18,Asia/Phnom_Penh
BBN,WBGZ,Bario Airport,Bario,MY,3.73465,115.47855,1021,Asia/Kuching
BBO,HCMI,Berbera Airport,Berbera,SO,10.38504,44.93672,9,Africa/Mogadishu
BBQ,TAPB,Burton-Nibbs International Airport,Codrington,AG,17.62119,-61.79835,9,America/Antigua
BBU,LRBS,Bucharest Băneasa Aurel Vlaicu International Airport,Bucharest,RO,44.50313,26.10294,91,Europe/Bucharest
BCA,MUBA,Gustavo Rizo Airport,Baracoa,CU,20.36530,-74.50620,8,America/Havana
BCD,RPVB,Bacolod-Silay International Airport,Bacolod City,PH,10.77624,123.01888,25,Asia/Manila
BCH,WPEC,Baucau Airport,Baucau,TL,-8.48648,126.39998,540,Asia/Dili
BCI,YBAR,Barcaldine Airport,Barcaldine,AU,-23.56627,145.30209,268,Australia/Brisbane
BCM,LRBC,Bacău George Enescu International  Airport,Bacău,RO,46.52190,26.91030,185,Europe/Bucharest
BCN,LEBL,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.29710,2.07846,4,Europe/Madrid
BCO,HABC,Jinka Airport,Jinka,ET,5.74965,36.56016,1364,Africa/Addis_Ababa
BCU,DNBC,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,NG,10.48283,9.74400,599,Africa/Lagos
BDA,TXKF,L.F. Wade International Airport,Hamilton,BM,32.36380,-64.67824,4,Atlantic/Bermuda
BDB,YBUD,Bundaberg Airport,Bundaberg,AU,-24.90504,152.32261,33,Australia/Brisbane
BDH,OIBL,Bandar Lengeh International Airport,Bandar Lengeh,IR,26.53228,54.82484,20,Asia/Tehran
BDJ,WAOO,Syamsudin Noor International Airport,Banjarbaru,ID,-3.44011,114.76121,20,Asia/Makassar
BDL,KBDL,Bradley International Airport,Hartford,US,41.93856,-72.68802,53,America/New_York
BDO,WICC,Husein Sastranegara International Airport,Bandung,ID,-6.90063,107.57600,742,Asia/Jakarta
BDQ,VABO,Vadodara International Airport,Vadodara,IN,22.33620,73.22630,39,Asia/Kolkata
BDS,LIBR,Brindisi Airport,Brindisi,IT,40.65760,17.94700,14,Europe/Rome
BDT,FZFD,Gbadolite Airport,Gbadolite,CD,4.25274,20.97527,460,Africa/Kinshasa
BDU,ENDU,Bardufoss Airport,Målselv,NO,69.05580,18.54040,77,Europe/Oslo
BEB,EGPL,Benbecula Airport,Balivanich,GB,57.48110,-7.36278,6,Europe/London
BED,KBED,Laurence G Hanscom Field,Bedford,US,42.47000,-71.28900,41,America/New_York
BEF,MNBL,Bluefields Airport,Bluefields,NI,11.99100,-83.77410,6,America/Managua
BEG,LYBE,Belgrade Nikola Tesla Airport,Belgrade,RS,44.81840,20.30910,102,Europe/Belgrade
BEJ,WAQT,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID,2.14776,117.43071,18,Asia/Makassar
BEK,VIBY,Bareilly Air Force Station,Bareilly,IN,28.42210,79.45080,177,Asia/Kolkata
BEL,SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR,-1.37928,-48.47621,16,America/Belem
BEM,GMMD,Beni Mellal Airport,Oulad Yaich,MA,32.40190,-6.31590,516,Africa/Casablanca
BEN,HLLB,Benina International Airport,Benina,LY,32.09680,20.26950,132,Africa/Tripoli
BER,EDDB,Berlin Brandenburg Airport,Berlin,DE,52.36174,13.50234,48,Europe/Berlin
BES,LFRB,Brest Bretagne airport,Brest,FR,48.44790,-4.41854,99,Europe/Paris
BET,PABE,Bethel Airport,Bethel,US,60.77980,-161.83800,38,America/Anchorage
BEU,YBIE,Bedourie Airport,Bedourie,AU,-24.34610,139.46001,91,Australia/Brisbane
BEW,FQBR,Beira International Airport,Beira,MZ,-19.79640,34.90760,10,Africa/Maputo
BEY,OLBA,Beirut Rafic Hariri International Airport,Beirut,LB,33.81983,35.48744,27,Asia/Beirut
BFD,KBFD,Bradford Regional Airport,Bradford,US,41.80310,-78.64010,653,America/New_York
BFF,KBFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,41.87400,-103.59600,1209,America/Denver
BFI,KBFI,King County International Airport - Boeing Field,Seattle,US,47.52704,-122.29995,6,America/Los_Angeles
BFJ,ZUBJ,Bijie Feixiong Airport,Bijie,CN,27.26707,105.47210,1448,Asia/Shanghai
BFL,KBFL,Meadows Field,Bakersfield,US,35.43360,-119.05700,155,America/Los_Angeles
BFN,FABL,Bram Fischer International Airport,Bloemfontein,ZA,-29.09270,26.30240,1358,Africa/Johannesburg
BFS,EGAA,Belfast International Airport,Belfast,GB,54.65750,-6.21583,82,Europe/London
BFV,VTUO,Buri Ram Airport,Buriram,TH,15.22950,103.25300,180,Asia/Bangkok
BFY,ZSBA,Bengbu Tenghu Airport,Bengbu,CN,33.16629,117.05834,0,Asia/Shanghai
BGA,SKBG,Palonegro Airport,Bucaramanga,CO,7.12650,-73.18480,1188,America/Bogota
BGC,LPBG,Bragança Airport,Bragança,PT,41.85780,-6.70713,683,Europe/Lisbon
BGF,FEFF,Bangui M'Poko International Airport,Bangui,CF,4.39848,18.51880,368,Africa/Bangui
BGG,LTCU,Bingöl Airport,Bingöl,TR,38.86013,40.59449,1069,Europe/Istanbul
BGI,TBPB,Grantley Adams International Airport,Bridgetown,BB,13.07467,-59.49103,52,America/Barbados
BGM,KBGM,Greater Binghamton/Edwin A Link field,Binghamton,US,42.20870,-75.97980,499,America/New_York
BGO,ENBR,"Bergen Airport, Flesland",Bergen,NO,60.29340,5.21814,52,Europe/Oslo
BGR,KBGR,Bangor International Airport,Bangor,US,44.80636,-68.82667,59,America/New_York
BGW,ORBI,Baghdad International Airport / New Al Muthana Air Base,Baghdad,IQ,33.26250,44.23460,35,Asia/Baghdad
BGY,LIME,Il Caravaggio International Airport,Orio al Serio (BG),IT,45.66936,9.70885,238,Europe/Rome
BHB,KBHB,Hancock County-Bar Harbor Airport,Bar Harbor,US,44.45000,-68.36150,25,America/New_York
BHD,EGAC,George Best Belfast City Airport,Belfast,GB,54.61810,-5.87250,5,Europe/London
BHE,NZWB,Woodbourne Airport,Blenheim,NZ,-41.51830,173.87000,33,Pacific/Auckland
BHH,OEBH,Bisha Airport,Bisha,SA,19.98440,42.62090,1185,Asia/Riyadh
BHI,SAZB,Comandante Espora Airport,Bahía Blanca,AR,-38.72500,-62.16930,75,America/Argentina/Buenos_Aires
